semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,,
1,Av. Boa Viagem,Em frente ao parque Dona Lindú ,BOA VIAGEM,-8.142323,-34.903798,E/Git,Ocasional/Ped.,1,
2,Av. Conselheiro Aguiar,Rua Thomé Gibson ,BOA VIAGEM,-8.099068,-34.885883,E/Git,Veicular,1,
3,Av. Boa Viagem,Rua França Pereira,BOA VIAGEM,-8.106806,-34.887726,E/Git,Ocasional/Ped.,1,
4,Av. Boa Viagem,Rua Barão de Souza Leão ,BOA VIAGEM,-8.132230,-34.899990,E/Git,Ocasional/Ped.,1,
5,Av. Conselheiro Aguiar,Rua Artur Muniz,BOA VIAGEM,-8.104310,-34.888228,E/Git,Veicular,1,
6,Av. Conselheiro Aguiar,Rua Antônio Falcão,BOA VIAGEM,-8.116171,-34.894686,E/Git,Veicular,1,
7,Av. Mascarenhas de Morais,Rua Jamaica,IMBIRIBEIRA,-8.107620,-34.911720,E/Git,Veicular,1,
8,Av. Caxangá,Rua Bom Pastor,IPUTINGA,-8.040820,-34.938494,E/Git,Veicular,1,
9,Av.Cruz Cabugá,Est BRT Casa da Misericórdia,STO AMARO,-8.044224,-34.874595,E/Git,Pedestre,1,
10,II Perimetral,Av. Parnamirim,PARNAMIRIM,-8.034731,-34.908303,E/Git,Veicular,1,
11,Rua Conselheiro Portela,Rua 48,ESPINHEIRO,-8.041458,-34.893810,E/Git,Veicular,1,
12,Rua Barão da Vitória,Rua Floriano Peixoto,SANTO ANTÔNIO,-8.067321,-34.882931,E,Veic.C/Ped.Paral.,1,
13,Rua do Sol,Rua Nova,SANTO ANTÔNIO,-8.063874,-34.880922,E/Git,Veic.C/Ped.Ocas.,1,
14,Rua do Sol,Av. Guararapes,SANTO ANTÔNIO,-8.062706,-34.880416,E/Git,Veic.C/Ped.Paral.,1,
15,Av. Dantas Barreto,Av. Guararapes,SANTO ANTÔNIO,-8.063788,-34.878518,E/Git,Veic.C/Ped.Paral.,1,
16,Av. Recife,Rua São Nicolau,VILA DO IPSEP,-8.106969,-34.927227,E/Git,Veicular,1,
17,Av. Nossa Senhora do Carmo,Rua Duque de Caxias,SANTO ANTÔNIO,-8.066170,-34.877460,E/Git,Pedestre,1,
18,Rua do Imperador,Rua 1º de Março,SANTO ANTÔNIO,-8.064191,-34.876823,E/Git,Veicular,1,
19,Av. Rio Branco,Cais do Apolo,RECIFE ANTIGO,-8.062391,-34.873830,E/Git,Veicular,1,
20,Av. Marquez de Olinda,Rua Madre de Deus,RECIFE ANTIGO,-8.063611,-34.873672,E/Git,Veicular,1,
21,Rua da Hora,Rua 48,ESPINHEIRO,-8.042905,-34.891930,E/Git,Veicular,1,
